Project Name,Package Name,Type Name,Code Smell
EventBus,org.greenrobot.eventbus,EventBusBackgroundThreadTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusBackgroundThreadTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,AbstractAndroidEventBusTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,AbstractAndroidEventBusTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,EventPostHandler,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusMainThreadRacingTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusMainThreadRacingTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,BackgroundPoster,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusMethodModifiersTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusMethodModifiersTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,EventBusMainThreadTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusMainThreadTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,ClassMapPerfTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusAndroidOrderTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusAndroidOrderTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,EventBusAndroidMultithreadedTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,AndroidComponentsAvailabilityTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusAndroidCancelEventDeliveryTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusAndroidCancelEventDeliveryTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,EventBusAndroidActivityTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusAndroidActivityTest,Deficient Encapsulation
EventBus,org.greenrobot.eventbus,EventBusAndroidActivityTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,WithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,TestActivity,Deficient Encapsulation
EventBus,org.greenrobot.eventbus,HandlerPoster,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.util,ThrowableFailureEvent,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.util,AsyncExecutor,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.util,Builder,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.util,ExceptionToResourceMapping,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.util,ExceptionToResourceMapping,Deficient Encapsulation
EventBus,org.greenrobot.eventbus.util,HasExecutionScope,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.meta,SimpleSubscriberInfo,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.meta,SimpleSubscriberInfo,Broken Hierarchy
EventBus,org.greenrobot.eventbus.meta,AbstractSubscriberInfo,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.android,AndroidComponents,Deficient Encapsulation
EventBus,org.greenrobot.eventbus.android,AndroidComponents,Cyclic-Dependent Modularization
EventBus,org.greenrobot.eventbus.android,AndroidComponentsImpl,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.android,AndroidComponentsImpl,Broken Hierarchy
EventBus,org.greenrobot.eventbus.android,AndroidLogger,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.android,DefaultAndroidMainThreadSupport,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.indexed,EventBusInheritanceDisabledTestWithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.indexed,EventBusMainThreadTestWithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.indexed,EventBusMainThreadRacingTestWithIndex,Unutilized Abstraction
