Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
EventBus,org.greenrobot.eventbus,MyEventExtended,0,0,0,0,2,0,0,2,-1.0,0,0
EventBus,org.greenrobot.eventbus,StickySubscriber,0,0,5,5,17,5,0,0,-1.0,0,4
EventBus,org.greenrobot.eventbus,EventBusSubscriberInJarTest,1,0,1,1,11,1,0,0,0.0,0,2
EventBus,org.greenrobot.eventbus,EventBusBackgroundThreadTest,0,0,3,3,23,3,0,2,-1.0,0,0
EventBus,org.greenrobot.eventbus,AbstractAndroidEventBusTest,1,0,7,5,30,7,5,1,0.8571428571428571,0,0
EventBus,org.greenrobot.eventbus,EventPostHandler,0,0,3,2,11,3,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbus,TestBackgroundPoster,4,0,5,1,60,10,0,0,0.0,2,1
EventBus,org.greenrobot.eventbus,EventBusMainThreadRacingTest,5,0,8,7,77,13,0,2,0.375,1,1
EventBus,org.greenrobot.eventbus,BackgroundPoster,1,0,2,2,15,4,0,0,1.0,0,0
EventBus,org.greenrobot.eventbus,EventBusMethodModifiersTest,0,0,5,5,27,5,0,2,-1.0,0,0
EventBus,org.greenrobot.eventbus,EventBusMainThreadTest,0,0,3,3,26,3,0,2,-1.0,0,1
EventBus,org.greenrobot.eventbus,ClassMapPerfTest,2,0,3,3,28,6,0,0,0.0,0,0
EventBus,org.greenrobot.eventbus,EventBusAndroidOrderTest,3,0,9,8,49,9,0,2,0.3333333333333333,0,2
EventBus,org.greenrobot.eventbus,OrderedEvent,1,0,1,0,6,1,0,0,0.0,1,0
EventBus,org.greenrobot.eventbus,EventBusAndroidMultithreadedTest,1,0,7,7,53,13,0,2,0.8571428571428571,0,1
EventBus,org.greenrobot.eventbus,SubscribeUnsubscribeThread,1,0,6,6,36,9,0,0,0.8333333333333334,1,0
EventBus,org.greenrobot.eventbus,AndroidComponentsAvailabilityTest,0,0,1,1,6,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus,EventBusAndroidCancelEventDeliveryTest,0,0,1,1,10,1,0,2,-1.0,0,1
EventBus,org.greenrobot.eventbus,EventBusAndroidActivityTest,2,2,3,3,26,3,0,1,0.6666666666666666,0,2
EventBus,org.greenrobot.eventbus,WithIndex,0,0,1,1,4,1,0,2,-1.0,0,0
EventBus,org.greenrobot.eventbus,TestActivity,1,1,1,1,6,1,0,0,0.0,1,0
EventBus,org.greenrobot.eventbus,SubscriberInJar,1,0,2,2,12,2,0,0,0.0,1,0
EventBus,org.greenrobot.eventbus,HandlerPoster,4,0,3,3,54,10,0,1,0.0,0,4
EventBus,org.greenrobot.eventbus.util,ThrowableFailureEvent,3,0,6,6,31,6,0,1,0.3333333333333333,0,0
EventBus,org.greenrobot.eventbus.util,AsyncExecutor,7,0,11,8,91,15,0,0,0.5454545454545454,0,2
EventBus,org.greenrobot.eventbus.util,Builder,3,0,6,5,34,9,0,0,0.3333333333333333,0,1
EventBus,org.greenrobot.eventbus.util,RunnableEx,0,0,1,0,6,1,0,0,-1.0,1,0
EventBus,org.greenrobot.eventbus.util,ExceptionToResourceMapping,1,1,4,3,57,11,0,0,0.0,0,1
EventBus,org.greenrobot.eventbus.util,HasExecutionScope,0,0,2,0,4,2,1,0,-1.0,0,0
EventBus,org.greenrobot.eventbus.meta,SubscriberInfo,0,0,4,0,9,4,1,0,-1.0,2,0
EventBus,org.greenrobot.eventbus.meta,SimpleSubscriberInfo,1,0,2,2,19,3,0,2,0.0,0,2
EventBus,org.greenrobot.eventbus.meta,SubscriberInfoIndex,0,0,1,0,6,1,0,0,-1.0,2,0
EventBus,org.greenrobot.eventbus.meta,SubscriberMethodInfo,5,0,3,3,20,3,0,0,0.0,2,0
EventBus,org.greenrobot.eventbus.meta,AbstractSubscriberInfo,3,0,7,3,48,8,1,1,0.0,0,0
EventBus,org.greenrobot.eventbus.android,AndroidComponents,3,2,3,3,18,3,1,0,0.6666666666666666,5,3
