Project Name,Package Name,Type Name,Method Name,Code Smell
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,onEventP10,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,onEventP10,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,onEventM100,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,onEventM100,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,onEventP10,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,onEventP10,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,onEventM100,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,onEventM100,Magic Number
EventBus,org.greenrobot.eventbus,PrioSubscriber,onEventP10,Magic Number
EventBus,org.greenrobot.eventbus,PrioSubscriber,onEventP10,Magic Number
EventBus,org.greenrobot.eventbus,PrioSubscriber,onEventM100,Magic Number
EventBus,org.greenrobot.eventbus,PrioSubscriber,onEventM100,Magic Number
EventBus,org.greenrobot.eventbus,PrioSubscriberSticky,onEventP10,Magic Number
EventBus,org.greenrobot.eventbus,PrioSubscriberSticky,onEventP10,Magic Number
EventBus,org.greenrobot.eventbus,PrioSubscriberSticky,onEventM100,Magic Number
EventBus,org.greenrobot.eventbus,PrioSubscriberSticky,onEventM100,Magic Number
EventBus,org.greenrobot.eventbus,EventBusCancelEventDeliveryTest,testCancel,Magic Number
EventBus,org.greenrobot.eventbus,EventBusCancelEventDeliveryTest,testCancelInBetween,Magic Number
EventBus,org.greenrobot.eventbus,EventBusCancelEventDeliveryTest,testCancelInBetween,Magic Number
EventBus,org.greenrobot.eventbus,EventBusCancelEventDeliveryTest,testCancelInBetween,Magic Number
EventBus,org.greenrobot.eventbus,EventBusCancelEventDeliveryTest,testCancelOutsideEventHandler,Empty catch clause
EventBus,org.greenrobot.eventbus,EventBusCancelEventDeliveryTest,onEvent2,Magic Number
EventBus,org.greenrobot.eventbus,EventBusCancelEventDeliveryTest,onEvent2,Magic Number
EventBus,org.greenrobot.eventbus,EventBusCancelEventDeliveryTest,onEvent3,Magic Number
EventBus,org.greenrobot.eventbus,EventBusCancelEventDeliveryTest,onEvent3,Magic Number
EventBus,org.greenrobot.eventbus,Subscriber,onEvent2,Magic Number
EventBus,org.greenrobot.eventbus,Subscriber,onEvent2,Magic Number
EventBus,org.greenrobot.eventbus,Subscriber,onEvent3,Magic Number
EventBus,org.greenrobot.eventbus,Subscriber,onEvent3,Magic Number
EventBus,org.greenrobot.eventbus,EventBusSubscriberInJarTest,testSubscriberInJar,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBackgroundThreadTest,testPostInCurrentThread,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBackgroundThreadTest,testPostFromMain,Magic Number
EventBus,org.greenrobot.eventbus,TestBackgroundPoster,pollEvent,Empty catch clause
EventBus,org.greenrobot.eventbus,TestBackgroundPoster,pollEvent,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMainThreadRacingTest,testRacingThreads,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMainThreadRacingTest,testRacingThreads,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMainThreadRacingTest,testRacingThreads,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMainThreadRacingTest,waitForHandler,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMainThreadRacingTest,run,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMainThreadRacingTest,run,Magic Number
EventBus,org.greenrobot.eventbus,BackgroundPoster,run,Magic Number
EventBus,org.greenrobot.eventbus,BackgroundPoster,run,Magic Number
