Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
EventBus,org.greenrobot.eventbusp.indexed,EventBusOrderedSubscriptionsTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp.indexed,EventBusMethodModifiersTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp.indexed,EventBusMultithreadedTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp.indexed,EventBusInheritanceTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp.indexed,EventBusRegistrationRacingTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp.indexed,EventBusFallbackToReflectionTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp.indexed,EventBusSubscriberExceptionTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp.indexed,EventBusGenericsTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp.indexed,EventBusStickyEventTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp.indexed,EventBusBasicTestWithIndex,0,0,2,2,8,2,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp.indexed,EventBusSubscriberInJarTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp.indexed,Indexed,0,0,1,0,5,1,0,0,-1.0,16,1
EventBus,org.greenrobot.eventbusp.indexed,EventBusCancelEventDeliveryTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp.indexed,EventBusBackgroundThreadTestWithIndex,0,0,2,2,8,2,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp.indexed,EventBusNoSubscriberEventTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusperf,TestSetupActivity,2,0,6,5,65,10,0,0,0.8333333333333334,0,2
EventBus,org.greenrobot.eventbusperf,Context,0,0,0,0,2,0,0,0,-1.0,12,0
EventBus,org.greenrobot.eventbusperf,TestRunner,3,0,4,4,54,9,0,0,0.0,1,4
EventBus,org.greenrobot.eventbusperf,TestRunnerActivity,3,0,6,5,58,12,0,0,0.3333333333333333,1,5
EventBus,org.greenrobot.eventbusperf,Test,4,1,4,4,18,4,0,1,1.0,2,2
EventBus,org.greenrobot.eventbusperf,TestFinishedEvent,2,2,1,1,8,1,0,0,0.0,1,1
