Project Name,Package Name,Type Name,Method Name,Code Smell
EventBus,org.greenrobot.eventbusp,EventBusGenericsTest,testGenericEventAndSubscriber_Subclass,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusGenericsTest,testGenericEventAndSubscriber_Subclass,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,testOrdered,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,testOrderedMainThread,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,testOrderedMainThread,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,testOrderedBackgroundThread,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,testOrderedBackgroundThread,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,testOrderedSticky,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,testOrderedMainThreadSticky,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,testOrderedMainThreadSticky,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,testOrderedBackgroundThreadSticky,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,testOrderedBackgroundThreadSticky,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,runTestOrdered,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,onEventP10,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,onEventP10,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,onEventM100,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,onEventM100,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,onEventP10,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,onEventP10,Magic Number
